,text,user_location,location,Lat,Lon
81126,"RT @taradublinrocks: Every time a #Trumpocrite member of the GOP brings up the fact that there’s only a week left until Inauguration Day, I…","Jonesboro, Arkansas","Jonesboro, Craighead County, Arkansas, United States",35.8428646,-90.7034522
88937,RT @BlackCatUnloads: Those who continue to enable this President and give his conspiracy theories oxygen need to be held accountable and lo…,"Tennessee, USA","Tennessee, United States",35.7730076,-86.2820081
35657,"RT @NavySailorBMC: Fun fact, when you’re wearing a mask stating “censored” while speaking into a microphone on the House floor on TV, you’r…","Paris, France","Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
95931,"RT @ResistMeena: The last time troops quartered in the Capitol, it was 1861. Is America Great Again?
#ImpeachmentDay #CapitolCoup #CivilWar…",Canada,Canada,61.0666922,-107.9917071
9590,"RT @grantstern: It's official: 

President Trump just became the only President to be impeached twice, this time on one article of inciteme…","Chicago, IL","Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
109021,RT @freakymarko: The perfect song for #ImpeachmentDay https://t.co/p4Vf4RAzaU,"Alexandria, VA","الإسكندرية, محافظة الإسكندرية, 21519, مصر",31.199004,29.894378
57434,"I don't know who needs to hear this, but we don't need a republican party. IJS. #ImpeachmentDay https://t.co/LwoZBirEcw",Yay Area!,"Yay, ເມືອງພູກູດ, ຊຽງຂວາງ, ປະເທດລາວ",19.698759,103.194342
84736,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…",The 6ix,"DEMPSEY 6ix AND 7even, Tanglin, Singapore, Central, Singapore",1.3046084,103.808764983839
36109,@leezeldin Shame on you! This is about ACCOUNTABILITY for an attempted coup INCITED by the sitting president. You t… https://t.co/fpxyZzb4zt,Rhode Island,"Rhode Island, United States",41.7962409,-71.5992372
85170,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…",NH X 2,"Nhà Hát, Hồng Gai, Hạ Long, Thành phố Hạ Long, Tỉnh Quảng Ninh, 36000, Việt Nam",20.9509014,107.0792384
111661,"RT @TheWordOfCarrie: I must be getting old. #ImpeachmentDay seems to come around faster every year.

What’s everyone getting? https://t.co/…",texas,"Texas, United States",31.8160381,-99.5120986
16835,I M P E A C H E D!! 🎉 #ImpeachmentDay,Cardiff 🏴󠁧󠁢󠁷󠁬󠁳󠁿,"Cardiff, Cymru / Wales, CF, United Kingdom",51.4816546,-3.1791934
16755,"Trump will spin this as ""No one else has been impeached twice. @BarackObama wasn't impeached twice."" #ImpeachmentDay",Hockeytown,"Hockeytown Cafe, West Montcalm Street, Detroit, Wayne County, Michigan, 48201, United States",42.3389626,-83.05272080409392
88314,What's the point in all of this debating?? Who believes the vote will be any different than the two previous ones w… https://t.co/Y4yuiTcNn8,"Ohio, USA","Ohio, United States",40.2253569,-82.6881395
49485,"RT @cucumberRoger: omg, can we get rid of this guy too #ImpeachmentDay https://t.co/9fuuJPiO7B",Northumberland. UK.,"Northumberland, North East England, England, United Kingdom",55.25,-2.000559
121639,RT @RepsForBiden: Happy #ImpeachmentDay  everyone!,New Jersey,"New Jersey, United States",40.0757384,-74.4041622
62307,"Ben Cline, speaking now, voted to overturn a free and fair election.

#ImpeachmentDay","New Brunswick, NJ","New Brunswick, Middlesex County, New Jersey, United States",40.4862174,-74.4518173
98548,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…",toronto,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
66978,RT @ChuckModi1: View of heavily armed police and national guard outside Capitol on #ImpeachmentDay. Add 100 more cops and it will resemble…,"Washington, USA","Washington, District of Columbia, United States",38.8950368,-77.0365427
34025,RT @TalbertSwan: For as long as I can remember white ‘conservatives’ have preached to Black people about taking responsibility and being ac…,"Valley Ranch, Irving, TX","Valley Ranch, Irving, Dallas County, Texas, 75063, United States",32.9341549,-96.9531951
15908,"RT @SteveRustad1: Lindsey Graham demanded the Impeachment of Clinton for a BJ.

But says Trump shouldn't be Impeached for inciting violent…",Southern Gulf Islands,"Royal Canadian Legion - Branch 84 (Gulf Islands), 472, Navy Channel Road, Southern Gulf Islands Electoral Area, Capital Regional District, British Columbia, V0N 2J0, Canada",48.827017749999996,-123.29131947190822
61717,#SteveCohen Is right they will try this again on the 20th they are not done attacking our democracy. #ImpeachmentDay,"New York, NY","New York, United States",40.7127281,-74.0060152
65278,"RT @karenhunter: Rep. Jaime Herrera Beutler, a Republican, said she is choosing truth and will vote to impeach trump...#ImpeachmentDay","Stafford, VA","Stafford, Staffordshire, West Midlands, England, United Kingdom",52.8063157,-2.1163818
3541,"RT @BorisJohnson_MP: Member of Congress demonstrating why the US has 392,000 deaths. 
#ImpeachmentDay https://t.co/7XBOi01BPu",United States,United States,39.7837304,-100.4458825
81964,"RT @amin_tweeter: “Simply put I told you so, Richmond out” 😭😭😭 Realest 1 on the floor ✌🏾 #ImpeachmentDay https://t.co/h7jUQpk49j","Midwest, US","Midwest, Natrona County, Wyoming, United States",43.411391,-106.280075
14363,"#BreakingNews #Trump is officially the first president to ever be impeached twice!

#ImpeachmentDay 
#Impeachment2… https://t.co/R6Eo0gOsuT",United States,United States,39.7837304,-100.4458825
7673,"RT @David_Leavitt: Only 10 Republicans voted to #ImpeachTrump 

The other 197 need to resign and go fuck themselves.

#ImpeachmentDay",Belgique,België / Belgique / Belgien,50.6402809,4.6667145
74903,"RT @JohnFugelsang: Jim Jordan just molested the truth, while the GOP looked the other way.

#ImpeachmentDay",United States,United States,39.7837304,-100.4458825
66705,"RT @David_Leavitt: Retweet if Matt Gaetz is the fucking worst

#ImpeachmentDay https://t.co/Q4Qbum5Xos","Baltimore, Maryland","Baltimore, Maryland, United States",39.2908816,-76.610759
74168,"RT @Tampa_Joe_813: If I was a Congressman, I would’ve brought zip ties in with me and asked every member “What do you think they were going…",Deutschland,Deutschland,51.0834196,10.4234469
65963,"I mean if this isn’t a hint that there was clear help from the inside for thus attack, I don’t know what is 🤷‍♀️… https://t.co/97BDYVaKf5","New Jersey, USA","New Jersey, United States",40.0757384,-74.4041622
19572,"Fake Melania aka Hope Hicks has left “her White House job” 

Per @cnnbrk 

#ImpeachmentDay https://t.co/kKDxPat11x",Switzerland,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
83991,@repdarrellissa you really think his speech was peaceful? You have given up on the California’s you represent for a… https://t.co/14lrQYX6hQ,"San Leandro, CA","San Leandro, Alameda County, California, United States",37.7249296,-122.1560768
16631,"Only President to be impeached TWICE.

#ImpeachmentDay https://t.co/gg1JC0oTYz","Washington, D.C.","D,C, Buccaneer Ridge Drive, Dogwood Acres, Johnson City, Washington County, Tennessee, 37684, United States",36.29885175,-82.35919331410948
47731,RT @kayisthey: daaaaamn. we need more reps like cori bush on the house floor. she’s taking no bullshit and telling how it is. we must remov…,"Dallas, TX","Dallas, Dallas County, Texas, United States",32.7762719,-96.7968559
100299,RT @BlackCatUnloads: Those who continue to enable this President and give his conspiracy theories oxygen need to be held accountable and lo…,"Hidden Valley Lake, CA","Hidden Valley Lake, Lake County, California, 95467, United States",38.8025675,-122.53395009710536
1076,RT @AMarch4OurLives: season 2 #ImpeachmentDay https://t.co/Up5IOIfDDq,Puerto Rico,"Puerto Rico, United States",18.2214149,-66.41328179513847
