,text,user_location,location,Lat,Lon,geometry
7857,"RT @KetArtDragon: Bowser's Fury
Mario is a Furry https://t.co/UQ7bxTtUY7","Rio de Janeiro, Brasil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727,POINT (-43.2093727 -22.9110137)
10277,RT @Burgnut1: @JoeBiden Ok but what do you think of Bowser’s fury?,your local library,"Your Local, Camden Road, Somers Town, London Borough of Camden, London, Greater London, England, NW1 9DR, United Kingdom",51.5400989,-0.1404018,POINT (-0.1404018 51.5400989)
12519,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,Minnesota,"Minnesota, United States",45.9896587,-94.6113288,POINT (-94.6113288 45.9896587)
12387,"RT @MarioBrothBlog: As seen in the new trailer for Super Mario 3D World + Bowser's Fury, everything in the Bowser's Fury adventure is cat-t…",Long Island,"Long Island, New York, United States",40.85149705,-73.0994258107431,POINT (-73.0994258107431 40.85149705)
15747,"RT @NintendoEurope: Later today, Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer! Come back at 15:00 CET…","Lazio, Northern Italy","Residenza dell'Ambasciatore Britannico, Via Ludovico di Savoia, Municipio Roma I, Roma, Roma Capitale, Lazio, 00183, Italia",41.8885339,12.5100906,POINT (12.5100906 41.8885339)
4464,if i can’t play as princess peach in bowser’s fury i will be sad,Funky Town,"Funky Town, Fatehpur, Dharmsala, Kangra, Himachal Pradesh, India",32.200235,76.35629641919047,POINT (76.35629641919047 32.200235)
20680,"RT @IGN: A new trailer for Super Mario 3D World + Bowser's Fury is being released tomorrow, January 12. https://t.co/bbgZEluhoF https://t.c…",Subang Jaya,"Subang Jaya, Selangor, Malaysia",3.03059545,101.65135048573256,POINT (101.6513504857326 3.03059545)
15028,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,United States,United States,39.7837304,-100.4458825,POINT (-100.4458825 39.7837304)
2423,RT @Mechazawa: Bowser's Fury https://t.co/GUqNBjbSpm,"Minnesota, USA","Minnesota, United States",45.9896587,-94.6113288,POINT (-94.6113288 45.9896587)
13360,RT @RANK10YGO: Watching the Bowser's Fury trailer expecting some small extra content for 3D World and then actually seeing it https://t.co/…,"Ohsweken, Ontario","Ohsweken, Southwestern Ontario, Ontario, N3W 2B2, Canada",43.0687351,-80.1179909,POINT (-80.1179909 43.0687351)
6004,RT @Nibellion: Official key art for Bowser's Fury https://t.co/FlyRwzo6xP,1312,"Aïn Fezza ⵄⵉⵏ ⴼⴻⵣⵣⴰ عين فزة, Daïra Chetouane, Tlemcen ⵜⵍⴻⵎⵙⴻⵏ تلمسان, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر",34.8780405,-1.2348586,POINT (-1.2348586 34.8780405)
20626,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,"Las Cruces, NM","Las Cruces, Doña Ana County, New Mexico, United States",32.3140354,-106.7798078,POINT (-106.7798078 32.3140354)
5181,"RT @KaisysDreamland: Based on the trailer it seems like Bowser's Fury is going to be more similar to the open world style 3D Mario games, a…",somewhere,"Somewhere, 贾汪区, 贾汪区 (Jiawang), 江苏省, 中国",34.4420602,117.5295201,POINT (117.5295201 34.4420602)
3813,@OllieH0217 The new 3D world + Bowser’s fury is a lot like 3D Land actually.,Tokyo-3,"ドコモショップ, 3, 八王子武蔵村山線, 武蔵村山市, 東京都, 208-0022, 日本",35.7471421,139.3853853,POINT (139.3853853 35.7471421)
20674,@NintendoAmerica Finally get to see what the hell bowser’s fury is,"England, United Kingdom","England, United Kingdom",52.5310214,-1.2649062,POINT (-1.2649062 52.5310214)
8265,"So apparently the Japanese press release of Bowser's Fury referred to this form of Bowser as ""God-Slayer Bowser"".… https://t.co/5PRvY3q82M",United States,United States,39.7837304,-100.4458825,POINT (-100.4458825 39.7837304)
25351,RT @NintendoAmerica: Bowser's Fury will be unleashed in a new #SuperMario3DWorld + #BowsersFury trailer tomorrow! Come back at 6am PT to se…,United States,United States,39.7837304,-100.4458825,POINT (-100.4458825 39.7837304)
